Polish,English
nie,no
to,this
się,myself
w,in
na,on
i,and
że,that
z,With
co,What
jest,is
do,down
tak,Yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
tylko,just
czy,if
tu,here
może,maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
coś,something
dobrze,Okay
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
proszę,please
jej,her
są,are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,so
sobie,herself
ze,with
był,was
wiesz,you know
bardzo,very
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
pani,you
jeszcze,still
mój,my
nas,us
żeby,in order to
no,yeah
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,thank you
nawet,even
chyba,I guess
domu,house
ona,she
prawda,true
zrobić,to do
była,was
właśnie,exactly
będę,I'll be
zawsze,always
hej,Hi
nim,him
nam,U.S
te,these
moja,my
musisz,you have to
je,them
dzięki,thanks
bez,without
tej,this
trochę,a bit
ktoś,someone
panie,ladies
jesteśmy,we're
moje,my
powiedzieć,tell
który,which
czas,time
więcej,more
twój,your
musimy,we must
lat,years
ta,this
chce,I want
możemy,We can
wszyscy,all
tobą,you
albo,or
prostu,just
chodzi,it comes
razem,together
stało,stood
cześć,hi
mną,me
czego,what
sam,alone
myślę,I think
pana,Mr
przed,before
boże,God
raz,once
czemu,why
będziesz,you will
niż,than
ludzie,people
dalej,next
czym,what
was,mustache
dobry,good
przy,by
ludzi,people
dzień,day
życie,life
lepiej,better
miał,had
rzeczy,stuff
twoja,your
czasu,time
ok,okay
temu,ago
robisz,you do
myślisz,you think
kim,Who is
niech,let
które,which
oczywiście,of course
siebie,myself
niego,him
cóż,well
powiedział,He said
u,at
daj,give
moim,my
chodź,come on
musi,has to
my,we
nikt,no one
twoje,your
tych,these
pod,under
dlatego,this is why
pewnie,sure
powiedz,say
aby,to
wtedy,then
wygląda,looks like
jeden,one
mojego,my
im,them
mówi,says
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
potem,later
wie,knows
takie,such
nią,her
wszystkie,all
znaczy,means
rozumiem,I understand
dzieje,history
moją,my
będziemy,we will be
wiele,many
stąd,hence
oni,they
mojej,mine
miejsce,place
iść,to go
kilka,a few
pomóc,help
dużo,a lot of
ile,how much
jasne,bright
byłem,I was
swoje,own
myśli,thinks
cały,whole
skąd,from where
wiedzieć,know
dzieci,kids
nich,them
która,which
wam,you
przykro,sorry
można,you can
jakieś,some
tę,these
wszystkich,all
nad,above
jakiś,some
sposób,way
trzeba,it's necessary to
mają,have
niej,her
pracy,work
kogoś,someone
tyle,so much
robić,do
bardziej,more
mówisz,you speak
zanim,before
zbyt,too
szybko,quick
dzisiaj,today
tobie,you
takiego,such
świetnie,Great
zobaczyć,see
zaraz,in a minute
pewno,surely
miałem,I had
kocham,I love
mówię,I say
nadal,still
jaki,what
rację,right
kochanie,baby
myślałem,I thought
trzy,three
ojciec,father
ani,or
robi,do
stanie,state
tą,this
później,later
ponieważ,because
idź,go
życia,life
twoim,yours
przestań,stop
sie,myself
swoją,his
chciałem,I wanted
długo,long
mamo,mum
kiedyś,Once
cholera,cholera
wciąż,still
nadzieję,hope
aż,until
będą,will be
jutro,tomorrow
każdy,everyone
dni,days
problem,problem
widzę,I see
mógł,could
stary,old
taka,such
żebyś,that you
widzisz,you see
twojej,your
tato,dad
potrzebuję,need
znowu,again
kurwa,whore
dziecko,kid
nocy,night
znaleźć,found
sama,alone
dokładnie,exactly
dnia,day
oh,oh
pierwszy,first
czuję,I feel
pieniądze,money
powiem,I will say
zrobił,he did
nami,us
miała,she had
twoją,your
gdyby,if
nasz,our
nasze,our
razie,in time in time?
samo,itself
były,former
dobre,good
słuchaj,listen
koniec,end
chciał,he wanted
widziałem,I saw
jakie,what
wszystkim,everyone
znam,I know
wcześniej,earlier
spokój,composure
chwilę,moments
mama,mom
sobą,ourselves
zostać,stay
został,left
wy,you
czegoś,something
żyje,is alive
mówić,to talk
bym,that would
którzy,who
porozmawiać,talk
spójrz,look
roku,year
mogą,may
chciałbym,I'd like
zabić,kill
poza,apart from
dom,House
we,in
imię,name
twojego,yours
lub,or
och,oh
miło,nice
którą,which
kogo,whom
sir,sir
minut,minutes
jakby,as if
prawie,almost
drzwi,door
byłam,I was
jesteście,you are
posłuchaj,listen
powiedziałem,I said
powodu,reason
powinniśmy,we should
gdzieś,somewhere
końcu,end
lubię,I like
mów,say
sprawy,issues
czekaj,wait
pomysł,idea
zrobię,I will do
wiemy,We know
wydaje,spends
byłeś,you were
razy,times
moich,mine
człowiek,man
jednak,but
innego,another
dość,enough
pomocy,help
przecież,yet
panu,Lord
broń,weapon
żadnych,no
noc,night
macie,you have
ciągle,all the time
c,c
żebym,that I would
źle,badly
powiedziała,she said
facet,guy
mówiłem,I said
którego,whose
podoba,like
miejscu,place
jeżeli,if
skoro,since
ego,ego
ojca,father
powinieneś,you should
lata,years
sprawa,thing
niczego,nothing
takim,such
pamiętasz,Do you remember
sądzę,I think
właściwie,actually
dwie,two
pokoju,room
którym,which
myślałam,I thought
jedno,one
idziemy,we are going
również,also
bądź,be
znasz,you know
swój,your
swojego,of its own
byś,that
chodźmy,let's go
nowy,new
chciałam,I wanted
pewien,a
wczoraj,yesterday
jedną,one
musiał,he had to
której,which
idę,I'm going
poważnie,seriously
swoim,his own
życiu,life
rozumiesz,you understand
których,whose
podczas,while
miałam,I had
oczy,eyes
rano,in the morning
sprawę,case
wystarczy,enough
spokojnie,relax
całą,whole
telefon,Telephone
rzecz,item
matka,mother
samochód,car
świat,world
nimi,them
dwóch,two
pracę,work
dać,to give
byli,were
powinienem,I should
weź,take
jedna,one
zamknij,close
the,the
mały,small
da,da
pozwól,let
całe,all
wina,fault
wiedziałem,I knew
wrócić,come back
między,between
chcą,they want
idzie,goes
śmierci,death
mówił,he spoke
numer,number
oto,here
miejsca,place
dopóki,as long as
czujesz,you feel
cokolwiek,whatever
swojej,of its own
nikogo,nobody
dam,lad
powiedziałeś,you said
tłumaczenie,translation
dziewczyna,girl
najpierw,firstly
pamiętam,I remember
powiesz,you will say
pytanie,question
inaczej,otherwise
świecie,world
znów,again
wyglądasz,you look
przynajmniej,at least
widzieć,see
prawdę,truth
zrobiłem,I did
śmierć,death
swoich,of its own
halo,Hello
gdybym,if I
jednego,one
pieniędzy,money
brzmi,sounds
wierzę,I believe
innych,other
trzymaj,hold
robię,I am doing
ogóle,all
super,cool
kobiety,women
potrzebuje,need
tata,dad
pójdę,I will go
wielu,many
dokąd,where
ręce,hands
zrobiłeś,you did
miłość,love
całkiem,quite
naszej,ours
nasza,our
możliwe,possible
gra,game
prawo,law
inne,other
każdym,every
chwili,moment
kobieta,woman
jednym,one
zrób,make
ważne,important
wybacz,forgive
żona,wife
chcemy,we want
działa,it works
byłoby,would be
także,too
słyszałem,I heard
wiedział,he knew
dziewczyny,Girls
drogi,expensive
pewna,sure
wiecie,you know
mówią,they say
cieszę,I'm happy
dopiero,only
poznać,to get to know
serce,heart
inny,other
witam,Hello
pojęcia,concepts
parę,a couple
przeciwko,against
udało,sucked
powinien,should
została,she stayed
naszym,ours
raczej,rather
wiadomość,message
pięć,bake
s,s
każdego,each
godziny,hours
plan,plan
wcale,at all
ciało,body
słowa,words
witaj,Welcome
naszego,ours
mogła,could
czasie,time
dostać,to receive
nowego,new
czymś,something
stać,be
oznacza,means
jaką,what
naszych,ours
patrz,Look
czyli,that is
twoich,yours
człowieka,human
czasem,sometimes
dziwne,weird
żyć,lives
zostaw,leave
zabrać,take
żadnego,none
cholery,damn
ostatnio,lately
rodziny,families
ciężko,hard
martw,deadly
miałeś,you had
rozmawiać,to talk
rób,do
ziemi,earth
nazywa,names
panowie,gentlemen
bóg,God
widziałam,I saw
szczęście,luck
syn,son
takich,such
sprawie,case
zabił,killed
powrotem,return
możecie,you can
godzin,hours
potrzebujemy,We need
diabła,devil
panią,lady
powinnaś,you should
ostatni,last
zrobimy,we will do
mąż,husband
wyjść,exit
krwi,blood
szkoły,school
nieźle,not bad
syna,son
natychmiast,immediately
słucham,I'm listening
mieliśmy,we had
taką,such
wszystkiego,all
widziałeś,you saw
serio,seriously
policja,Police
chciała,She wanted
zrobisz,you will do
byliśmy,We were
radę,advice
zgadza,agrees
one,they
czasami,sometimes
końca,end
idziesz,you go
zostanie,will stay
powinnam,should
byłaś,you were
mogłem,I could
drodze,road
mieli,they had
najbardziej,the most
pomoc,help
jaka,what
cztery,four
john,John
strony,pages
część,Hello
należy,belongs
jack,jack
kimś,someone
głowy,head
brat,brother
zobaczenia,see
blisko,near
zaczekaj,Wait
powiedziałam,I said
uwierzyć,believe
skarbie,honey
zły,bad
naszą,our
wieczór,evening
dolarów,dollars
twarz,face
zostało,stayed
świata,world
cała,whole
potrzebujesz,you need
środku,inside
pokój,room
innym,other
obchodzi,celebrates
spotkanie,meeting
chcecie,you want
gotowy,ready
doktorze,doctor
temat,topic
wielki,large
uważaj,be careful
daleko,far
pół,half
ode,from
uda,thighs
dr,dr
chociaż,though
kiedykolwiek,whenever
rok,year
lecz,but
miasta,cities
d,D
poczekaj,wait
robota,job
racja,right
człowiekiem,human
wieczorem,in the evening
zależy,it depends
dobranoc,good night
późno,late
chciałabym,I would like
mógłbym,I could
krew,blood
gdybyś,if you
wziąć,to take
lubi,likes to
słowo,word
powinno,should be
zewnątrz,outside
nowe,new
rodzina,family
wspaniale,excellent
mówiąc,saying
stronie,page
miesięcy,months
głowę,head
robimy,we do
znalazłem,I found
lubisz,do you like
mniej,less
wrócę,I will come back
wejść,enter
wypadek,accident
pierwsze,first
szybciej,faster
tydzień,week
chłopaki,boys
nieważne,does not matter
pójść,go
praca,job
czeka,waiting
zobaczymy,we'll see
taa,yeah
szansę,chances
wiedziałam,I knew
widział,saw
wody,water
dawaj,come on
zna,know
mała,little
jezu,Jesus
zrobi,do
pracować,work
moi,my
serca,hearts
jakoś,somehow
złe,badly
chwila,moment
prawa,laws
sądzisz,you think
według,According to
spotkać,meet
kapitanie,captain
zupełnie,quite
sprawdzić,to check
mogli,they could
ojcem,father
you,you
boga,God
okej,okay
wspólnego,in common
mówiłeś,you said
mieście,city
robią,do
chłopak,boy
jechać,to go
prawdopodobnie,probably
doktor,doctor
spać,to sleep
pracuje,works
zdjęcia,pictures
wasza,yours
uwagę,attention
myśleć,think
mówiłam,I said
znać,know
t,T
ciała,bodies
mógłbyś,you could
problemy,problems
okay,okay
film,movie
gotowa,ready
tymi,these
zdjęcie,picture
pogadać,talk
brak,lack
powiedziałaś,You said
wiedzą,knowledge
dał,gave
małe,small
pomoże,will help
ponad,above
mało,little
kilku,several
koleś,dude
wkrótce,soon
rękę,hand
razu,once
mógłby,could
ostatnie,last
miasto,city
zrobiła,she did
przyjaciół,friends
stronę,page
góry,mountains
nazwisko,last name
wami,you
pa,PA
całym,All
drogę,way
wystarczająco,enough
zatrzymać,stop
droga,road
niemożliwe,impossible
jakąś,some
mike,mike
odejść,depart
broni,weapons
zmienić,to change
wszędzie,everywhere
prosto,straight
rodzice,parents
początku,beginning
policji,police
nagle,suddenly
drugi,second
brata,brother
przyjaciel,friend
wielkie,great
człowieku,Man
choć,though
samego,itself
muszą,must
często,often
dziecka,child
pomóż,help
dobrym,good
kłopoty,troubles
nazywam,My name is
większość,majority
zacząć,start
roboty,work
zaczyna,starts
żaden,no
pozwolić,to let
matki,mother
miłości,love
trudno,it is difficult
błąd,mistake
drugiej,second
głowie,head
dziewczynę,girlfriend
pokaż,show
córka,daughter
godzinę,hour
michael,Michael
żadnej,none
jedynie,only
szkole,School
pierwsza,first
musiałem,I had to
wracaj,come back
szkoda,pity
george,george
siostra,sister
zapomnij,forget
pomyślałem,I thought
słyszysz,you hear
ponownie,again
przyszedł,he came
całkowicie,fully
charlie,charlie
zamiast,instead
trzymać,keep
musicie,you have to
czuje,I feel
gówno,shit
trzech,three
rady,advice
dowiedzieć,find out
jakaś,some
obiecuję,I promise
osób,people
niestety,unfortunately
zadzwonić,call
samochodu,car
czekać,wait
zatem,therefore
jakim,what
miało,was supposed to
piękna,Beautiful
oraz,and
zostań,stay
rany,wounds
jedziemy,we drive
dasz,you can let
kraju,country
zrobiłam,I did
zostawić,to leave
historia,history
mimo,despite
zobacz,look
głupi,stupid
nowym,new
faceta,man
dawno,long time ago
pokazać,show
widzenia,vision
rodzinę,family
obok,next to
jednej,one
powie,will say
sami,themselves
przykład,example
tygodniu,week
chciałeś,You wanted
dłużej,longer
ruszaj,go
oboje,both
dół,hole
najlepszy,best
wróci,will come back
odkąd,since
musiała,must
zabawne,funny
górę,top
frank,franc
łatwo,easy
uważam,I think
będziecie,you will
wieku,age
mówiła,she said
joe,Joe
synu,son
chłopcy,boys
złego,bad
niczym,like
męża,husband
sporo,a lot
popatrz,look
inni,others
szefie,boss
środka,center
znaleźliśmy,we found
samym,on the same
pewnego,certain
pracuję,works
panno,virgin
zajmę,I will occupy
zamierzam,I intend to
istnieje,exists
uważasz,you think
okazji,occasion
moment,moment
takiej,such
spróbuj,try
znajdziemy,we will find
osobą,person
nikomu,no one
kupić,to buy
sześć,six
gość,guest
niby,kind of
spróbować,try
póki,while
cicho,quiet
zła,bad
jakiegoś,some
uh,uh
wezmę,i'll take
walczyć,fight
wiadomości,messages
prawdziwe,real
niedługo,soon
ciągu,sequence
żonę,wife
tom,volume
fbi,FBI
boję,scales
strasznie,terribly
wasze,yours
historii,history
dziewczyną,girl
powinna,She should
nowa,new
wrócił,came back
mężczyzna,man
gotowi,ready
głos,voice
około,about
boli,it hurts
zwykle,usually
następnym,next
powodzenia,good luck
słyszałeś,did you hear
widać,can be seen
bracie,brother
kocha,love
pewnością,certainly
leci,flies
znajdę,I will find
zająć,hare
zadzwonię,I will call
szczerze,honestly
dzieckiem,baby
najlepsze,best
korekta,adjustment
przyjdzie,will come
próbuję,try
panem,master
szpitala,hospital
tędy,this way
daje,gives
słyszałam,I heard
myśl,thought
statek,ship
miałaś,You had
najlepiej,best
ludźmi,people
wracam,I'm coming back
pytania,questions
wracać,return
powód,reason
zrobiłaś,you did
kobietą,woman
prawdziwy,true
mogłam,I could
seks,sex
kolejny,next
pasuje,it suits
jedzenie,food
nienawidzę,I hate
przysięgam,I swear
umrzeć,die
proste,simple
ulicy,street
przyjacielem,friend
czyż,or
znalazł,he found
nigdzie,nowhere
zostały,left
włosy,hair
ojcze,father
same,themselves
twarzy,face
tysięcy,thousands
zamiar,intention
ludziom,people
przestać,stop
zadzwoń,Call
przyjaciele,friends
mieszka,lives
pewny,sure
zabierz,take
kolację,dinners
wieści,news
stan,state
ziemię,Earth
powstrzymać,stop
żartujesz,you are kidding
nogi,legs
kochasz,you love
grać,play
sądzie,court
uwielbiam,I adore
każdej,every
osoba,person
robił,did
potrafię,I can
przyjaciółmi,friends
dobrego,good
zrozumieć,understand
mogłeś,you could
wyboru,selection
spokoju,peace
piękne,beautiful
y,y
fajnie,cool
trudne,difficult
cel,objective
james,James
biura,offices
henry,Henry
słyszę,I hear
świetny,excellent
tygodni,weeks
przyjść,come
wolno,slow
żony,wives
mocno,tightly
znaczenia,meaning
uciec,escape
tyłu,so many
żoną,wife
widziałaś,You saw
and,and
informacje,information
zapytać,ask
hey,hey
poszedł,went
osoby,persons
młody,young
musieli,they had to
obawiam,I am afraid
tacy,such
otwórz,open
bogu,God
gościa,guest
matką,mother
odpowiedź,response
niektórzy,some
związek,relationship
centrum,center
pierwszym,first
pytań,questions
szukam,I'm looking for
jakbym,like
chwileczkę,for a while
tygodnie,weeks
zabiję,I will kill
samej,itself
wreszcie,finally
m,m
policję,police
moglibyśmy,we could
chodziło,It was
poszło,went
szczęśliwy,lucky
więzienia,prisons
mnóstwo,lots of
chodźcie,go
wiedziała,she knew
pozwolę,let me let
hotelu,hotel
żebyśmy,that we
stój,stand
części,part
nieprawda,not true
reszta,rest
gry,games
uspokój,calm
kapitan,captain
lepsze,better
jedyną,only
stoi,standing
niesamowite,incredible
sensu,meaning
ból,pain
ślub,wedding
duży,big
wojny,wars
dajcie,give
resztę,rest
związku,relationship
przyjaciela,friend
dostał,He get
uważa,thinks
list,letter
wielka,huge
nową,new
następny,next
rodziców,parents
jakiego,what
pewne,certain
dobrą,Okay
ktokolwiek,anyone
martwić,worry
sekund,seconds
david,David
łóżka,bed
zobaczysz,you will see
górze,Mountain
przyszłość,future
szukać,look for
ciekawe,interesting
wasz,yours
szansa,chance
facetem,guy
dostałem,I got
ach,ah
cie,you
prezent,gift
dr.,dr.
mocy,power
peter,peter
mary,Mary
walki,fights
jorku,York
częścią,part
zaczął,he started
dostaniesz,you will get
kobietę,woman
mowy,speech
tony,tones
sytuacji,situation
jedynym,only
chronić,protect
ben,ben
jimmy,Jimmy
światło,light
zajmie,will take
twoi,yours
los,moose
potrafi,can
pomogę,I will help
zobaczę,I'll see
szpitalu,hospital
własne,own
skończy,will end
wysoki,high
ofiary,victims
morderstwo,murder
pójdzie,will go
pomiędzy,between
małą,little
szef,boss
uwaga,Caution
pójdziesz,you will go
dna,gout
obiad,lunch
jane,Jane
dowód,proof
mogło,could
zdanie,opinion
próbował,he tried
kobiet,women
skończyć,end
coraz,and
całej,all
chcieli,They wanted
miesiąc,month
nieco,little
system,system
ruszać,move
zamierzasz,you intend
widzi,sees
wybór,choice
martwy,dead
lepszy,better
jakbyś,like
zjeść,eat
znalazłam,I found
wokół,around
dzieciak,child
patrzeć,look
max,max
wspaniałe,wonderful
usiądź,sit down
wierzysz,you believe
historię,history
zabije,will kill
słuchać,to listen
jedyne,only
danny,Danny
siły,strength
próbowałem,I tried
spoko,cool
jedyny,only
próbuje,try
gotowe,finished
usłyszeć,hear
robotę,work
staram,I try
alex,alex
odpowiedzi,answers
jedź,go
zatrzymaj,stop
stara,old
pamiętaj,remember
komuś,someone
jeść,eat
wow,wow
niezły,good
byłby,would be
drugą,second
pójdziemy,we go
miły,nice
milionów,millions
miesiące,months
tyłek,butt
stylu,style
zbrodni,crime
owszem,yes
uratować,save
wypadku,accident
robicie,you do
prosić,ask
duże,big
drugie,second
interes,business
telefonu,phone
ciąży,pregnancy
córkę,daughter
ostatniej,last
wiedziałeś,You knew
najwyraźniej,obviously
przejść,pass
ogień,fire
sen,dream
jadę,I'm going
pomyśl,idea
celu,purpose
więzieniu,prison
powiedzieli,they said
ależ,but
chłopaka,boyfriend
yeah,yeah
spraw,make it happen
oko,eye
moc,power
pies,dog
jakimś,some
pracujesz,you work
wejdź,enter
brakuje,is lacking
paul,Paul
przyjęcie,adoption
rodziną,family
sprawdź,check
otworzyć,open
znajdziesz,You will find
przyszedłem,I came
dzieciaki,kids
zdobyć,to win
wcześnie,early
mówiłaś,you said
mogłabym,I could
ostatnia,final
wielkiego,great
harry,Harry
użyć,use
firmy,companies
gorzej,worse
potrzeba,need
wstawaj,get up
informacji,information
stamtąd,from there
adres,address
dosyć,enough
drinka,drink
samą,herself
jedyna,only
światła,lights
głupie,stupid
wspaniały,Excellent
biurze,office
matkę,mother
osobiście,personally
patrzcie,Look
rodzaju,type
psa,dog
zrobili,they did
pobliżu,near
spotkamy,we'll meet
samochodzie,car
zasady,rules
dole,bottom
kolego,my friend
myślą,think
wyjaśnić,to explain
piękny,beautiful
zespół,team
problemu,problem
boisz,you are afraid
śmieszne,funny
pierwszą,first
atak,attack
gratulacje,congratulations
buty,shoes
program,program
poproszę,Please
dziesięć,ten
ładnie,nicely
pracował,he worked
wychodzi,comes out
szczęśliwa,happily
pokażę,I will show
puść,let go
siedzieć,sit
mózgu,brain
laboratorium,lab
codziennie,daily
klucz,key
prowadzi,leads
załatwić,take out
tommy,Tommy
miłe,nice
it,IT
mieszkanie,apartment
wolę,I prefer
bycie,being
byśmy,that we would
wiadomo,we know
bezpieczeństwa,safety
zgadzam,I agree
pierwszej,first
zostanę,I will stay
pomyślałam,I thought
zdecydowanie,definitely
słuchajcie,listen
zabiłeś,you killed
zabrał,took
siostry,sisters
woda,water
nauczyć,teach
siadaj,sit down
powiedzenia,Proverbs
uczucie,feeling
znajdzie,will find
chłopiec,boy
złapać,catch
najlepszym,best
zostawił,he left
koło,circle
piwo,beer
każda,any
przyszłości,future
siedem,seven
wyszedł,he left
zamknąć,close
pozbyć,get rid of
abyś,that you
tuż,next door
potrafisz,you can
zniszczyć,destroy
umarł,died
budynku,building
zajęty,occupied
statku,ship
ślady,traces
wolny,free
początek,beginning
rodzinie,family
łóżku,bed
dowody,evidence
potrzebował,he needed
dziękujemy,Thank you
podobno,supposedly
naprawić,to fix
me,me
minuty,minutes
nick,nickname
córki,daughters
znajdź,find
powoli,slowly
przyznać,admit
wyjdzie,will come out
wielkim,great
życiem,life
książki,books
świetna,excellent
jedzenia,food
całego,whole
jaja,eggs
kawę,coffee
damy,lady
zostaniesz,You'll stay
lekarza,doctor
dala,at a time
wojna,war
wielką,huge
pora,time
urodziny,birthday
odebrać,to pick up
kolejne,next
martwi,worries
badania,tests
król,King
mogłabyś,you could
stał,steel
wobec,to
zeszłym,last
straszne,horrible
jakiej,what
prawdziwa,true
ostrożnie,carefully
amy,Amy
wierzyć,believe
dane,data
świetne,great
wysokość,height
znamy,We know
innymi,otherwise
pięknie,Beautifully
bob,broad bean
plany,plans
własną,own
musiałam,I had to
ruch,movement
doskonale,excellent
druga,second
niezła,good
zginął,died
zapomnieć,forget
chłopcze,boy
steve,Steve
przede,above
znak,sign
samolot,plane
weekend,weekend
znalazłeś,you found
kuchni,kitchen
zróbmy,let's do
zwłaszcza,especially
gości,guests
billy,billy
kawałek,piece
przyszła,she came
chory,ill
przyjacielu,friend
dziwnie,strangely
twierdzi,claims
słychać,hear
przygotować,to prepare
chciałaś,You wanted
zaczynamy,we start
detektyw,detective
wśród,among
jim,Jim
kończy,ends
jake,jake
dwoje,two
witamy,Welcome
ray,Ray
zadanie,task
względu,that a matter is due
synem,son
wodę,water
poczekać,wait
znaleźli,found
imieniu,name
lunch,lunch
odzyskać,to regain
em,em
oprócz,apart from
don,don
of,of
podaj,give
założę,I will assume
chodzić,go
momencie,in moment
święta,holidays
zapomniałem,I forgot
kawy,coffee
